,pearson_corr,abs_corr
a1_ex_length,0.07219640335565176,0.07219640335565176
a2_recov_boost,0.07160894689614354,0.07160894689614354
diff_crit_std_PARTIAL,0.07100826625551518,0.07100826625551518
a4_atk,-0.07099273070225752,0.07099273070225752
diff_max_hp_mean_FULL,0.07062381524358971,0.07062381524358971
diff_max_hp_sum_FULL,0.07062381524358965,0.07062381524358965
d1_evasion,0.07045534599953147,0.07045534599953147
def_position_back_prop_FULL,0.06952847426037655,0.06952847426037655
d3_mov_spd,0.06933437989791041,0.06933437989791041
d4_atk_spd,0.06933437989790975,0.06933437989790975
d2_block_rate_bonus,0.06933437989790968,0.06933437989790968
d1_block_rate_bonus,0.06933437989790966,0.06933437989790966
d3_atk_spd,0.0693343798979087,0.0693343798979087
ds1_crit_dmg,0.0691370854868467,0.0691370854868467
a1_max_hp,0.06883521549103876,0.06883521549103876
